Mail on Sunday (London),Sunday Business Post,The Herald (Ireland),The Irish Times,dail
1.5588235294117647,1.3137254901960784,1.2727272727272727,1.7,1.4444444444444444
1.303030303030303,1.0,1.3333333333333333,1.9444444444444444,1.375
1.2424242424242424,,1.6666666666666667,1.1555555555555554,1.75
1.3333333333333333,,1.65,1.263157894736842,
1.1666666666666667,,1.7894736842105263,1.4545454545454546,
,,,1.8695652173913044,
1.0609756097560976,1.0444444444444445,1.619047619047619,1.6896551724137931,1.2
1.3766233766233766,1.5416666666666667,1.75,1.7916666666666667,1.5
1.2352941176470589,1.0,1.392156862745098,,
1.2222222222222223,1.3846153846153846,,1.8214285714285714,
1.3863636363636365,1.7916666666666667,1.3846153846153846,1.5769230769230769,1.3548387096774193
,1.5714285714285714,1.3636363636363635,1.7272727272727273,
,1.0454545454545454,1.105263157894737,1.2804878048780488,
1.5384615384615385,1.0512820512820513,1.8888888888888888,1.0434782608695652,1.4444444444444444
1.1666666666666667,1.0,1.7142857142857142,1.6153846153846154,1.4444444444444444
,,1.2702702702702702,1.5625,
1.3333333333333333,1.3888888888888888,1.4,1.9,1.1764705882352942
1.5,1.3928571428571428,1.3333333333333333,1.1875,1.1764705882352942
1.4193548387096775,,1.4615384615384615,1.6296296296296295,1.6666666666666667
,1.1136363636363635,1.7647058823529411,1.489795918367347,1.6666666666666667
,1.2191780821917808,1.5,1.1372549019607843,1.25
,1.2203389830508475,1.0833333333333333,1.0,1.25
,1.1538461538461537,1.2121212121212122,1.3566433566433567,1.0
,1.4393939393939394,,1.1538461538461537,1.0
,,1.434782608695652,1.564102564102564,1.0
,1.35,1.2380952380952381,1.537037037037037,1.0
1.4444444444444444,1.2692307692307692,1.3076923076923077,1.4915254237288136,1.0
1.75,1.3166666666666667,1.44,2.1785714285714284,1.273972602739726
,1.1,1.3508771929824561,1.3888888888888888,1.273972602739726
1.0,,1.6842105263157894,1.5,1.1666666666666667
1.0,1.4918032786885247,1.3,1.4285714285714286,1.1666666666666667
1.5272727272727273,,1.1666666666666667,1.631578947368421,
1.64,1.7640449438202248,1.6923076923076923,1.3703703703703705,1.255813953488372
1.4615384615384615,1.4827586206896552,1.173913043478261,1.1666666666666667,1.6
1.5789473684210527,1.0,1.5,1.4782608695652173,1.2
1.0625,1.255813953488372,1.75,1.3529411764705883,1.25
2.0,1.5384615384615385,1.3888888888888888,1.3636363636363635,
1.4146341463414633,1.2,1.8181818181818181,,1.0
1.6149068322981366,,1.5517241379310345,,1.1428571428571428
,1.3953488372093024,1.0869565217391304,,1.3333333333333333
,,1.3125,1.4137931034482758,2.2222222222222223
,1.3333333333333333,1.542857142857143,1.1777777777777778,
,,1.0625,1.2727272727272727,1.1666666666666667
1.0,1.765625,1.6,1.375,1.5555555555555556
1.2857142857142858,1.3888888888888888,1.28,1.2641509433962264,
1.25,1.3773584905660377,1.7272727272727273,,
,1.3636363636363635,1.5,1.0476190476190477,
,,1.6666666666666667,1.394736842105263,
,1.25,1.4285714285714286,2.074074074074074,1.2857142857142858
,1.4444444444444444,1.3181818181818181,1.6153846153846154,1.1875
,1.5634920634920635,1.8,1.1666666666666667,
1.0454545454545454,1.7236842105263157,1.375,1.4915254237288136,
,1.3620689655172413,1.2307692307692308,1.962962962962963,1.3928571428571428
1.7777777777777777,1.4252873563218391,1.8095238095238095,1.4166666666666667,1.7142857142857142
1.2,,1.5925925925925926,1.375,1.5714285714285714
,1.4086956521739131,1.3666666666666667,1.25,
,1.5128205128205128,1.2857142857142858,1.5526315789473684,
,,,1.24,3.142857142857143
1.5,,1.588235294117647,,1.45
1.5238095238095237,1.0,1.0869565217391304,1.2,
,1.2857142857142858,1.5454545454545454,,1.95
1.1764705882352942,1.5555555555555556,1.6666666666666667,1.35,1.3478260869565217
1.4482758620689655,1.0392156862745099,1.2173913043478262,,1.45
1.5454545454545454,,1.3333333333333333,1.6666666666666667,
1.0,1.5333333333333334,1.2666666666666666,1.8888888888888888,
,1.2638036809815951,1.6666666666666667,1.467741935483871,1.2307692307692308
,1.15,1.7727272727272727,1.4387755102040816,1.4
1.3068181818181819,1.0,1.4545454545454546,1.7894736842105263,
1.3333333333333333,1.2363636363636363,1.6097560975609757,1.5813953488372092,
,1.396551724137931,,1.5490196078431373,1.3571428571428572
1.5,1.4907407407407407,1.375,1.0909090909090908,1.3636363636363635
1.4081632653061225,1.3214285714285714,1.5769230769230769,1.4416243654822336,1.5
1.1875,1.1733333333333333,1.5925925925925926,1.4181818181818182,1.5
1.6666666666666667,1.4655172413793103,,1.4146341463414633,1.5263157894736843
1.5,1.7772727272727273,1.8214285714285714,1.0909090909090908,
1.3387096774193548,,1.558139534883721,1.2580645161290323,1.0
,1.5416666666666667,1.6428571428571428,1.2941176470588236,1.0
1.1666666666666667,1.0909090909090908,1.4878048780487805,1.2580645161290323,1.2
,1.391304347826087,1.375,1.2391304347826086,1.5384615384615385
,1.2844036697247707,1.619047619047619,2.4166666666666665,
1.5833333333333333,1.84,1.5238095238095237,1.0526315789473684,
,1.3414634146341464,1.3,1.3166666666666667,
1.0,1.0416666666666667,1.5909090909090908,1.6666666666666667,1.0909090909090908
1.4193548387096775,1.0,1.1935483870967742,1.2424242424242424,1.0909090909090908
,1.2598425196850394,1.5961538461538463,1.2857142857142858,
,1.4393939393939394,1.5,1.457142857142857,1.12
,1.4634146341463414,1.105263157894737,1.5921052631578947,1.12
,,1.4230769230769231,1.173913043478261,1.3513513513513513
,1.5555555555555556,1.2142857142857142,1.8620689655172413,1.3513513513513513
,,1.2916666666666667,1.6764705882352942,2.0
1.3076923076923077,1.0,1.121212121212121,1.736842105263158,1.2727272727272727
1.0588235294117647,1.5333333333333334,1.1785714285714286,1.6258064516129032,2.0
1.8421052631578947,,,1.3043478260869565,1.25
1.6149732620320856,1.3076923076923077,,1.1071428571428572,1.2222222222222223
,,,1.3758389261744965,1.5945945945945945
1.0952380952380953,1.3508771929824561,1.0,1.6363636363636365,
,1.4615384615384615,2.111111111111111,1.6153846153846154,
,,1.0555555555555556,1.6153846153846154,
1.2941176470588236,1.3846153846153846,1.5609756097560976,1.6666666666666667,
1.2560975609756098,1.6363636363636365,1.1176470588235294,1.5,
1.4574468085106382,1.4666666666666666,1.6470588235294117,1.4479166666666667,
,1.9473684210526316,1.4,1.4565217391304348,
,1.4743589743589745,1.32,1.24,1.375
,1.4225352112676057,1.7083333333333333,1.5,1.391304347826087
1.2857142857142858,1.0,1.0476190476190477,1.125,1.5714285714285714
1.489795918367347,1.5789473684210527,1.6,1.2045454545454546,1.1666666666666667
1.8571428571428572,1.3928571428571428,1.3333333333333333,1.4782608695652173,1.1666666666666667
1.5384615384615385,1.4523809523809523,1.4615384615384615,1.8095238095238095,1.3076923076923077
1.5333333333333334,1.2173913043478262,1.32,1.6333333333333333,1.6363636363636365
1.0666666666666667,1.75,1.5,1.3675889328063242,1.6363636363636365
1.625,1.096774193548387,1.2258064516129032,1.6231884057971016,1.5833333333333333
1.509090909090909,1.5,1.5238095238095237,1.325,1.5833333333333333
1.3650793650793651,1.2083333333333333,1.5,,1.1428571428571428
1.7,1.4047619047619047,2.0,1.2571428571428571,1.0
1.25,,1.3181818181818181,1.2826086956521738,1.0
1.8333333333333333,1.4,1.3043478260869565,1.5,1.0
1.36,,1.0869565217391304,1.1,1.380952380952381
1.5434782608695652,1.3,1.4285714285714286,1.2727272727272727,1.1904761904761905
,,1.2857142857142858,1.3150684931506849,
,1.4285714285714286,1.36,,
1.3984962406015038,,1.3,1.4078947368421053,1.0
,1.6388888888888888,1.9,1.8,1.3636363636363635
1.1538461538461537,1.75,1.3157894736842106,1.3695652173913044,1.3636363636363635
,1.5,1.2380952380952381,1.0,1.0
1.530612244897959,1.1785714285714286,1.6666666666666667,1.3333333333333333,1.3333333333333333
1.6666666666666667,1.3432835820895523,1.6896551724137931,1.3404255319148937,1.0666666666666667
1.1428571428571428,1.586466165413534,1.1666666666666667,1.1951219512195121,1.3333333333333333
,1.8661417322834646,1.5416666666666667,1.2380952380952381,
1.6756756756756757,1.84375,1.5625,1.3636363636363635,
,1.0909090909090908,1.7352941176470589,1.4918032786885247,1.3333333333333333
1.046875,1.624031007751938,1.5,1.3137254901960784,
1.7142857142857142,1.391025641025641,,1.6595744680851063,1.3243243243243243
,1.5058823529411764,1.3333333333333333,1.3962264150943395,1.2
1.3,,1.5,1.2044198895027625,1.625
1.4857142857142858,1.6666666666666667,1.032258064516129,1.3773584905660377,
,1.1515151515151516,1.75,1.272,
,,1.2857142857142858,1.1818181818181819,1.1481481481481481
